id,web_name,minutes,goals_scored,assists,expected_goals,expected_assists,xGI,expected_goals_conceded,defensive_contribution_per_90,starts,yellow_cards,red_cards,saves,penalties_missed,goals_conceded,own_goals,clean_sheets,GI,overperformance,highlight
560,Isidor,823,4,0,2.78,0.05,2.83,12.37,2.73,10,0,0,0,0,11,0,4,4,1.17,False
668,Xhaka,1260,1,4,0.37,1.29,1.66,18.57,11.43,14,4,0,0,0,14,0,4,5,3.34,False
670,Roefs,1260,0,0,0.0,0.03,0.03,18.57,0.0,14,2,0,51,0,14,0,4,0,-0.03,False
683,Alderete,847,1,1,0.66,0.54,1.2,12.41,9.99,9,2,0,0,0,9,0,3,2,0.8,False
694,Mukiele,1080,1,1,0.56,0.83,1.39,17.01,10.25,12,2,0,0,0,12,1,3,2,0.6100000000000001,False
724,Geertruida,442,0,0,0.33,0.3,0.63,8.61,6.92,4,0,0,0,0,6,0,0,0,-0.63,False
735,Traoré,483,1,1,0.48,0.22,0.7,7.88,6.52,7,1,0,0,0,7,0,2,2,1.3,False
565,Vicario,1260,0,0,0.0,0.01,0.01,19.41,0.0,14,0,0,43,0,18,0,4,0,-0.01,False
568,Pedro Porro,1055,0,2,0.18,1.7,1.88,14.9,6.65,12,2,0,0,0,12,0,4,2,0.1200000000000001,False
569,Romero,927,2,1,0.73,0.26,0.99,14.74,8.74,10,6,0,0,0,12,0,3,3,2.01,False
570,Danso,482,0,0,0.0,0.09,0.09,7.78,12.51,6,3,0,0,0,10,0,1,0,-0.09,False
573,Spence,835,0,0,0.18,0.22,0.4,13.42,4.74,10,2,0,0,0,11,0,4,0,-0.4,False
574,Udogie,605,0,1,0.1,0.32,0.42,10.36,4.46,6,1,0,0,0,13,0,0,1,0.5800000000000001,False
575,Van de Ven,1159,3,0,1.91,0.27,2.18,17.37,6.06,13,3,0,0,0,16,0,4,3,0.8199999999999998,False
580,Johnson,555,2,0,0.96,0.28,1.24,9.46,6.49,6,2,0,0,0,4,0,3,2,0.76,False
